product_url,brand,product_name,number_of_reviews,star_rating,Price,Fragrance Family,Scent Type,Key Notes,Fragrance Description,COMPOSITION,Features,Description,Ingredients,Details
https://www.ulta.com/p/libre-eau-de-toilette-pimprod2023720,Yves Saint Laurent,Libre Eau de Toilette,898,4.8,72,Floral,,Lavendar Essence,,,,"""Libre Eau de Toilette is a bright and fresh interpretation of the iconic Yves Saint Laurent Eau de Parfum. Bursts of French Lavender Essence and Moroccan Orange Blossom combine with an icy White Tea Accord to create a modern and youthful women's perfume.""","'\nAlcohol, Parfum / Fragrance, Aqua / Water / Eau, Linalool, Limonene, Butyl Methoxydibenzoylmethane, Coumarin, Methyl Anthranilate, Benzyl Alcohol, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral, Geraniol, Cinnamyl Alcohol, Tris (Tetramethylhydroxypiperidinol) Citrate, Isoeugenol, Farnesol, Ci 14700 / Red 4, Ci 19140 / Yellow 5, Ci 60730 / Ext. Violet 2., (F.I.L. C267903/1).'","[""'Details\\nFragrance Family\\nFloral\\nKey Notes\\nLavendar Essence\\nOrange Blossom\\nWhite Tea Accord'""]"
https://www.ulta.com/p/libre-le-parfum-pimprod2034820,Yves Saint Laurent,Libre Le Parfum,1226,4.6,155,Warm Floral,,Top - lavender,,,The first parfum in the Libre collection,"'Yves Saint Laurent Libre Le Parfum is the warm and spicy interpretation on the classic Eau de Parfum. A bold and long-lasting floral parfum for women enriched with cool lavender, sensual orange blossom and warm saffron accord from the YSL Beauty Ourika Community Garden.'","'\nAlcohol, Parfum/Fragrance, Aqua/Water/Eau, Linalool, Limonene, Methyl Anthranilate, Benzyl Salicylate, Hydroxycitronellal, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Benzyl Alcohol, Coumarin, Geraniol, Citronellol, Alpha-Isomethyl Ionone, Citral, Isoeugenol, Tris(Tetramethylhydroxypiperidinol) Citrate, Farnesol, CI 14700/Red 4, CI 19140/Yellow 5, CI 60730/Ext. Violet 2, CI 15985/Yellow 6, CI 42090/Blue 1.'","['""Details\\nFeatures\\nThe first parfum in the Libre collection', 'Libre Le Parfum is the most concentrated and longest lasting perfume in the collection.\\nAn olfactive tribute to the sensual saffron accord \'Fleurs de feu (Flower of Fire)\' praised by Mr. Saint Laurent himself\\nA blend turning up the temperature and twisting the iconic LIBRE scent with a spicy and warm take.\\nThis iconic couture Libre bottle is engineered like a piece of couture jewlery tinged in gold holding the flaming amber colored flowers of fire.\\nFragrance Family\\nWarm Floral\\nKey Notes\\nTop - lavender\\nMiddle - orange blossom\\nBase - saffron accord""']"
https://www.ulta.com/p/flowerbomb-nectar-eau-de-parfum-pimprod2031924,Viktor&Rolf,Flowerbomb Nectar Eau de Parfum,1013,4.8,175,Warm Florals,,Top - living gunpowder/benzoin resinoid,,,In this fragrance,"""Viktor&amp;Rolf Flowerbomb Nectar Eau de Parfum is an intense floral perfume that delves into the heart of the classic Flowerbomb perfume, emerging as an intoxicating elixir with notes of warm florals that evoke visions of distinctly feminine moments with each mist of this intense women's perfume.""","'\nAlcohol, Parfum/Fragrance, Aqua/Water, Linalool, Limonene, Benzyl Salicylate, Benzyl Alcohol, Citronellol, Coumarin, Alpha-Isomethyl Ionone, Methyl Anthranilate, Citral, Geraniol, CI 60730/Ext. Violet 2, CI 14700/Red 4.'","[""'Details\\nFeatures\\nIn this fragrance"", 'blackcurrant and bergamot blend with jasmine and orange flower before meeting the warm scent of patchouli oil and vanilla perfume.\\nLike reaching into a floral bouquet', 'this perfume for women is a deeper', ""more-intense take on the iconic floral fragrance that started it all.\\nFragrance Family\\nWarm Florals\\nKey Notes\\nTop - living gunpowder/benzoin resinoid\\nMiddle - orange flower\\nBase - tonka bean'""]"
https://www.ulta.com/p/idole-eau-de-parfum-purse-spray-pimprod2008762,Lancôme,Idôle Eau de Parfum Purse Spray,14206,4.6,31,Fresh Floral,,Top - bergamot,,,This fresh floral fragrance,"'Sophisticated, yet modern, Idôle Eau de Parfum by Lancôme empowers you to dream bigger. This fresh fragrance pulsates through the day bursts of inviting florals, energizing citrus and sultry white musks.'","'\nAlcohol, Parfum / Fragrance, Aqua / Water / Eau, Methyl Anthranilate, Tris(Tetramethylhydroxypiperidinol) Citrate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Ci 14700 / Red 4, Ci 60730 / Ext. Violet 2, Linalool, Geraniol, Eugenol, Alpha-Isomethyl Ionone, Methyl-2-Octynoate, Coumarin, Farnesol, Limonene, Hydroxycitronellal, Citral, Citronellol, Hexyl Cinnamal, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate.'","[""'Details\\nFeatures\\nThis fresh floral fragrance"", 'created by women', 'for a generation of women that dreams big and stands strong\\nAt the heart of this radiant fragrance', 'a sustainably sourced radiant rose meets jasmine absolutes for an intense softness which blooms gracefully\\nA base of sultry white musks and sweet vanilla give depth\\nAt the top', 'notes of bergamot explode with juicy pear and a touch of pink peppercorn\\nIdôle Eau de Parfum purse spray is the perfect travel size perfume\\nFragrance Family\\nFresh Floral\\nKey Notes\\nTop - bergamot', 'juicy pear', 'pink peppercorn\\nMiddle - rose', 'jasmine\\nBase - white musks', 'vanilla', 'patchouli', ""cedarwood'""]"
https://www.ulta.com/p/angel-eau-de-parfum-xlsImpprod3920101,MUGLER,Angel Eau de Parfum,1172,4.5,180,Warm & Spicy,,Bergamot,,,Each facet of this sweet,"""Celestial. Delicious. Fearless. ANGEL Eau de Parfum by MUGLER is a sparkling women's perfume with notes of with bergamot, praline, and patchouli leaf.""","'\nAlcohol, Parfum/Fragrance, Aqua/Water/Eau, Butylphenyl Methylpropional, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Bht, Coumarin, Limonene, Linalool, Geraniol, Amyl Cinnamal, Citronellol, Benzyl Salicylate, Citral, Farnesol, Hexyl Cinnamal, Eugenol, Benzyl Benzoate, Isoeugenol, Ci 60730/Ext, Violet 2, Ci 19140/Yellow 5, Ci 42090/Blue 1, Ci 17200/Red 33.'","['""Details\\nFeatures\\nEach facet of this sweet', 'vanilla perfume for women triggers a different emotion and launches you into a sensation that is wilder than dreams.\\nThe brightness of bergamot ignites your senses', 'while the fantasy of praline sparks sweet', 'playful memories. This unique cocktail is counterbalanced by the energy of patchouli leaf', 'for a fearless', ""long-lasting women's fragrance.\\nThe MUGLER Angel Star bottle features a dynamic composition of facets"", 'balancing the sharp elements of the glass with the smooth', 'blue color of the precious Eau de Parfum\\nFragrance Family\\nWarm & Spicy\\nGourmand\\nKey Notes\\nBergamot\\nPraline\\nPatchouli Leaf""']"
https://www.ulta.com/p/la-belle-eau-de-parfum-pimprod2034073,Jean Paul Gaultier,La Belle Eau de Parfum,245,4.4,70,Amber,,Top - bergamot,,,,"""Jean Paul Gautier's La Belle Eau de Parfum is a fresh amber paradise. Notes of juicy citrus fruits, explosive green pear, zesty bergamot and torrid vanilla.""",'Shipping & Coupon Restrictions',"[""'Details\\nFragrance Family\\nAmber\\nKey Notes\\nTop - bergamot\\nMiddle - green pear\\nBase - vanilla pod'""]"
https://www.ulta.com/p/cashmere-mist-eau-de-parfum-xlsImpprod640940,Donna Karan,Cashmere Mist Eau de Parfum,322,4.6,124,Floral,Warm & Spicy Floral,Top - Lily of the Valley,,,,"""The ultimate layer of luxury. Donna Karan Cashmere Mist is the iconic scent of self-indulgence. A way to treat yourself each and every day, it's an alluring Eau de Parfum infused with essences of Moroccan jasmine, lily of the valley and warm sandalwood.""","'\nAlcohol Denat., Cashmere Mist Fragrance (Parfum), Water\\Aqua\\Eau, Benzyl Salicylate, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Linalool, Limonene, Coumarin, Benzyl Benzoate, Hydroxycitronellal, Geraniol, Citral, Citronellol, Hexyl Cinnamal, Farnesol, Benzyl Cinnamate, Eugenol, Benzyl Alcohol, Isoeugenol.'","[""'Details\\nFragrance Family\\nFloral\\nScent Type\\nWarm & Spicy Floral\\nKey Notes\\nTop - Lily of the Valley\\nMiddle - Moroccan Jasmine\\nBase - Sandalwood'""]"
https://www.ulta.com/p/mon-paris-intensement-eau-de-parfum-pimprod2014067,Yves Saint Laurent,Mon Paris Intensément Eau de Parfum,173,4.5,80,Floral,,Top - black currant,,,The heart of this women's perfume is a sensual and elegant rose that combines with bold black currant and white musk to create an intense,"""Mon Paris Intensément is a daring take on the classic Yves Saint Laurent perfume. Bold notes of rose, black currant, and white musk create a sensual women's fragrance.""","'\nAlcohol, Water, Benzyl Salicylate, Linalool, Benzyl Alcohol, Hydroxycitronellal, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Butyl Methoxydibenzoylmethane, Limonene, Coumarin, Citronellol, Geraniol, Cinnamyl Alcohol, Methyl Anthranilate, Amyl Cinnamal, Citral, Benzyl Benzoate, Ci 60730 / Ext. Violet 2, Anise Alcohol, Ci 42090 / Blue 1, Ci 15985 / Yellow 6.'","['""Details\\nFeatures\\nThe heart of this women\'s perfume is a sensual and elegant rose that combines with bold black currant and white musk to create an intense', 'long-lasting', 'and romantic floral fragrance that evokes a passionate love story in Paris.\\nThe Mon Paris bottle features an elegant Lavalliere bow covered in an intense fuchsia veil', 'inspired by the latest designs of Saint Laurent couture.\\nFragrance Family\\nFloral\\nKey Notes\\nTop - black currant\\nMiddle - rose\\nBase - white musk""']"
https://www.ulta.com/p/flora-gorgeous-gardenia-eau-de-parfum-rollerball-pimprod2026914,Gucci,Flora Gorgeous Gardenia Eau de Parfum Rollerball,878,4.3,35,Rich White Floral,,Top - pear blossom,,,This product is a 2022 Allure Best of Beauty award winner.,"'Gucci Flora Gorgeous Gardenia Eau de Parfum Rollerball is a delicious potion of joy built around the Gardenia flower blended with solar Jasmine absolute, cheerful Pear Blossom accord and sweet Brown Sugar accord. A signature floral scent for all free-spirited women full of positive energy.'","'\nAlcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Benzyl Salicylate, Hydroxycitronellal, Limonene, Coumarin, Linalool, Farnesol, Benzyl Benzoate, Citronellol, Benzyl Alcohol.'","[""'Details\\nFeatures\\nThis product is a 2022 Allure Best of Beauty award winner.\\nFragrance Family\\nRich White Floral\\nKey Notes\\nTop - pear blossom\\nMiddle - white gardenia"", 'jasmine\\nBase - brown sugar', ""patchouli'""]"
https://www.ulta.com/p/eternity-eau-de-parfum-2505,Calvin Klein,Eternity Eau de Parfum,144,4.7,107,Floral,Warm Floral,Top - freesia,,,,'Romantic. Timeless. Feminine. Calvin Klein Eternity Eau de Parfum was inspired by the ideal of lasting love and intimacy. A harmonious blend of white flowers and creamy woods.',"'\nAlcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Benzyl Salicylate, Butylphenyl Methylpropional, Citronellol, Eugenol, Linalool, Ethylhexyl Methoxycinnamate, Hydroxycitronellal, Benzophenone-3, Ethylhexyl Salicylate, Butylmethoxydibenzoylmethane, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Geraniol, Isoeugenol, Cinnamyl Alcohol, Limonene, Bht, Propylene Glycol, Benzyl Alcohol, Benzyl Benzoate, Acrylates/Octylacrylamide Copolymer, Hydrolyzed Jojoba Esters, Fd&C Yellow No. 5 (Ci 19140), Fd&C Red, No. 4 (Cl 14700).'","[""'Details\\nFragrance Family\\nFloral\\nScent Type\\nWarm Floral\\nKey Notes\\nTop - freesia"", 'mandarin', 'sage\\nMiddle - muguet', 'white lily', 'marigold', 'narcissus\\nBase - sandalwood', 'patchouli', ""amber'""]"
