,product_url,brand,product_name,number_of_reviews,star_rating,Price,Fragrance Family,Scent Type,Key Notes,COMPOSITION,Features,Ingredients,Description,Details
296,https://www.ulta.com/p/bloom-profumo-di-fiori-eau-de-parfum-pimprod2016489,Gucci,Bloom Profumo di Fiori Eau de Parfum,"-1,070",4.1,['$118.00'],Floral,Classic Floral,Top - tuberose flower,,,"['Ingredients\nAlcohol Denat, Parfum/Fragrance, Aqua/Water/Eau, Linalool, Benzyl Salicylate, Ethylhexyl Methoxycinnamate, Hydroxycitronellal, Citronellol, Geraniol, Eugenol, Benzophenone 3, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Farnesol, Isoeugenol, Benzyl Benzoate, Hexylcinnamal, Benzyl Alcohol, Citral, Bht.']","['Enter the garden of dreams with the Gucci Bloom Profumo di Fiori. A natural green scent, it explores the rich floral quality and creamy depth of Tuberose.']","{'Fragrance Family': 'Floral', 'Scent Type': 'Classic Floral', 'Key Notes': 'Top - tuberose flower'}"
297,https://www.ulta.com/p/aromatics-elixir-eau-de-parfum-spray-VP11395,Clinique,Aromatics Elixir Eau de Parfum Spray,-866,4.1,['Sale Price $51.10'],Chypre,,Top: verbena,,Combines over 700 ingredients to create a confident,"['Ingredients\nAlcohol Denat., Aromatics Perfume (Parfum), Water / Aqua / Eau, Benzyl Salicylate, Geraniol, Linalool, Hydroxycitronellal, Eugenol, Butylphenyl Methylpropional, Benzyl Benzoate, Hexyl Cinnamal, Citral, Benzyl Alcohol, Benzyl Cinnamate, Citronellol, Farnesol, Limonene, Coumarin, Isoeugenol, Evernia Prunastri (Oakmoss) Extract, Alpha-Isomethyl Ionone, Green 5 (CI 61570), Yellow 5 (CI 19140), Red 4 (CI 14700).\nPlease be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']","['Clinique Aromatics Elixir Eau de Parfum Spray is a cult classic scent defined by a complex blend of bold, luxurious ingredients.']","{'Features': 'Combines over 700 ingredients to create a confident', 'Fragrance Family': 'Chypre', 'Key Notes': 'Top: verbena'}"
298,https://www.ulta.com/p/jadore-eau-de-parfum-infinissime-pimprod2018478,Dior,J'adore Eau de Parfum Infinissime,-102,4.5,['$155.00'],Floral,Warm Floral,Bergamot,,,"['Ingredients\n#09247/A Alcohol, Parfum (Fragrance), Aqua (Water), Linalool, Benzyl Salicylate, Limonene, Citronellol, Hydroxycitronellal, Hexyl Cinnamal, Ethylhexyl Methoxycinnamate, Alpha-Isomethyl Ionone, Bht, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Citral, Geraniol, Coumarin, Isoeugenol, Benzyl Alcohol, Tocopherol, Ci 60730 (Ext.Violet 2), Disodium Edta.']","[""The flowers of J'adore unfurl in a sensual and enveloping perfume from Dior: J'adore Eau de Parfum Infinissime.""]","{'Fragrance Family': 'Floral', 'Scent Type': 'Warm Floral', 'Key Notes': 'Bergamot'}"
299,https://www.ulta.com/p/toy-2-bubble-gum-eau-de-toilette-pimprod2026935,Moschino,Toy 2 Bubble Gum Eau de Toilette,-24,3.8,['$89.00'],,,Top: Candied Citrus,,,"['Ingredients\n#09247/A Alcohol, Parfum (Fragrance), Aqua (Water), Linalool, Benzyl Salicylate, Limonene, Citronellol, Hydroxycitronellal, Hexyl Cinnamal, Ethylhexyl Methoxycinnamate, Alpha-Isomethyl Ionone, Bht, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Citral, Geraniol, Coumarin, Isoeugenol, Benzyl Alcohol, Tocopherol, Ci 60730 (Ext.Violet 2), Disodium Edta.']",['Toy 2 Bubble Gum Eau de Toilette is a fragrance by Moschino encased in the iconic teddy bear! Bubble Gum fragrance envelopes the body and stimulates the mind.'],{'Key Notes': 'Top: Candied Citrus'}
300,https://www.ulta.com/p/n5-gold-body-oil-pimprod2036214,CHANEL,N°5 The Gold Body Oil,-1,5,['$100.00'],,,,,Inspired by the silky blend of May rose and Grasse jasmine featured in the original fragrance,"['Ingredients\nCaprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Parfum (Fragrance), Caprylyl Glycol, Calcium Sodium Borosilicate, Castor Oil/Ipdi Copolymer, Linalool, Limonene, Coumarin, Alpha-Isomethyl Ionone, Citronellol, Hydroxycitronellal, Tocopherol, Cinnamyl Alcohol, Hexyl Cinnamal, Benzyl Salicylate, Geraniol, Anise Alcohol, Eugenol, Benzyl Benzoate, Farnesol, Citral, Tin Oxide, Isoeugenol, CI 77491 (Iron Oxides), CI 77891 (Titanium Dioxide), Il70a.']","['A limited-edition shimmering body oil that leaves skin moisturized and enveloped in the sensual signature of the iconic fragrance. The bottle houses gold-coloured fragments that appear weightlessly suspended. The nourishing formula imparts a soft, satiny veil and subtle sheen for a radiant result.']",{'Features': 'Inspired by the silky blend of May rose and Grasse jasmine featured in the original fragrance'}
301,https://www.ulta.com/p/my-happy-indigo-mist-perfume-spray-pimprod2021494,Clinique,My Happy Indigo Mist Perfume Spray,-50,4.5,['Sale Price $18.20'],Fresh,,Top: apple skin,,Mood: Cool. Charismatic. Uplifting.,"['Ingredients\nAlcohol Denat., Fragrance (Parfum), Water\\Aqua\\Eau, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Benzyl Salicylate, Limonene, Citronellol, Linalool, Hydroxycitronellal, Hexyl Cinnamal, Geraniol, Alpha-Isomethyl Ionone, Eugenol, Citral, Benzyl Benzoate, Benzyl Alcohol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate.\nPlease be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']","['Clinique My Happy Indigo Mist Perfume Spray is a refreshing scent with bluebells, wet green notes of melon and violet leaf, cashmeran, and orris root.']","{'Features': 'Mood: Cool. Charismatic. Uplifting.', 'Fragrance Family': 'Fresh', 'Key Notes': 'Top: apple skin'}"
302,https://www.ulta.com/p/daisy-eau-de-toilette-pen-spray-xlsImpprod5810099,Marc Jacobs,Daisy Eau de Toilette Pen Spray,-892,4.7,['$31.00'],Floral,Fruity Floral,Top - Wild Berries,,,"['Ingredients\nAlcohol Denat., Fragrance, Water, Acrylates/Octylacrylamide Copolymer, Alpha-Isomethyl Ionone, Benzophenone-3, Benzyl Benzoate, Bht, Butyl Methoxydibenzoylmethane, Butylphenyl Methylpropional, Citronellol, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Geraniol, Hexyl Cinnamal, Hydrolyzed Jojoba Esters, Hydroxycitronellal, Limonene, Linalool, Methyl 2-Octynoate, Fd&C Yellow N5 (Ci 19140), Fd&C Yellow N6 (Ci 15985).']","['Marc Jacobs Daisy Eau de Toilette Pen Spray is a sparkling floral bouquet, spirited and fresh, wrapped in comfort and warmth. This travel-friendly spray pen for the girl on the go.']","{'Fragrance Family': 'Floral', 'Scent Type': 'Fruity Floral', 'Key Notes': 'Top - Wild Berries'}"
303,https://www.ulta.com/p/amarige-eau-de-toilette-6951,Givenchy,Amarige Eau de Toilette,-98,4.6,['$113.00'],Floral,Floral,Head: Gardenia,,,"['Ingredients\nAlcohol, Fragrance, Water, Benzyl Salicylate, Ethylhexyl Methoxycinnamate, Linalool, Farnesol, Coumarin, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Hydroxycitronellal, Bht, Benzyl Alcohol, Benzyl Benzoate, Eugenol, Isoeugenol, Methyl 2-Octynoate, Geraniol, Limonene, Yellow 5 (Ci 19140), Red 4 (Ci 14700).']","[""Givenchy's Amarige Eau de Toilette reveals the pleasures of life and the simplicity of joyful moments. Bursting top notes of floral gardenia combine with a warm heart of mimosa. Precious wood aromas round out the base of the feminine fragrance, evocating the shores of the Mediterranean Sea.""]","{'Fragrance Family': 'Floral', 'Scent Type': 'Floral', 'Key Notes': 'Head: Gardenia'}"
304,https://www.ulta.com/p/coco-mademoiselle-moisturizing-body-lotion-pimprod2015916,CHANEL,COCO MADEMOISELLE Moisturizing Body Lotion,-21,4.9,['$60.00'],Floral,,Orange,Vibrant notes of orange complement the transparency of May Rose and the elegance of Patchouli.,,"['Ingredients\nAQUA (WATER), ETHYLHEXYL STEARATE, BUTYLENE GLYCOL, ETHYLHEXYL PALMITATE, PARFUM (FRAGRANCE), DIMETHICONE, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, PROPYLENE GLYCOL, CETEARYL ALCOHOL, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, STEARETH-2, STEARETH-21, PHENOXYETHANOL, GLYCERIN, SQUALANE, LINALOOL, CETEARYL GLUCOSIDE, CHLORPHENESIN, BENZOPHENONE-4, POLYSORBATE 60, LIMONENE, POLYACRYLIC ACID, SODIUM POLYACRYLATE, BENZYL SALICYLATE, CHONDRUS CRISPUS (CARRAGEENAN), TETRASODIUM EDTA, XANTHAN GUM, GERANIOL, SORBITAN ISOSTEARATE, SODIUM CITRATE, CITRONELLOL, HEXYL CINNAMAL, COUMARIN, PEG-8, TOCOPHEROL, CITRAL, ASCORBYL PALMITATE, ASCORBIC ACID, CITRIC ACID, CI 77491 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE), MICA, IL52A.\nDisclaimer: Please be aware that ingredient lists may change or vary from time to time. To confirm that a CHANEL product is suitable for your personal use, please consult the list of ingredients that is included on the product packaging.']","['CHANEL COCO MADEMOISELLE Moisturizing Body Lotion features a lightweight, fluid formula that softens and delicately scents skin with the fresh, modern oriental fragrance.']","{'Composition': 'Vibrant notes of orange complement the transparency of May Rose and the elegance of Patchouli.', 'Fragrance Family': 'Floral', 'Key Notes': 'Orange'}"
306,https://www.ulta.com/p/wild-rose-eau-de-parfum-purse-spray-pimprod2032447,Coach,Wild Rose Eau de Parfum Purse Spray,-314,4.7,['$29.00'],Gourmand Woody,Woody Floral,Top - Redcurrant,,,"['Ingredients\nAlcohol Denat. (Sd Alcohol 39-C), Parfum (Fragrance), Aqua (Water), Ethylhexyl Methoxycinnamate, Limonene, Benzyl Salicylate, Hydroxycitronellal, Ethylhexyl Salicylate, Citronellol, Butyl Methoxydibenzoylmethane, Alpha-Isomethyl Ionone, Linalool, Citral, Coumarin, Geraniol, Benzyl Alcohol, BHT.']","['Coach Wild Rose Eau de Parfum Purse Spray is inspired by the free-spirited beauty of a meadow of wild flowers. The bold, delicate scent combines juicy redcurrant with floral rose blooms and a warm, woody ambroxan.']","{'Fragrance Family': 'Gourmand Woody', 'Scent Type': 'Woody Floral', 'Key Notes': 'Top - Redcurrant'}"
